Original,English,Vietnamese,Type
烈焰宗,Lieyan Sect,Liệt Diễm Tông,organization
众星捧月,,Chúng Tinh Bổng Nguyệt,term
九长老,Ninth Elder,Cửu Trưởng Lão,name
傀儡丝,Puppet Silk,Khôi Lỗi Ti,term
苍厉,,Thương Lệ,name
幽冥殿,Youming Hall,U Minh Điện,location
燧人氏,Suiren,Toại Nhân Thị,name
神农氏,Shennong,Thần Nông Thị,name
黄帝,Yellow Emperor,Hoàng Đế,name
大禹,Da Yu,Đại Vũ,name
冯凯,,Phùng Khải,name
孔康泽,,Khổng Khang Trạch,name
茅潃,,Mao Sấn,name
吕峻,,Lữ Tuấn,name
雷羿恒,,Lôi Nghệ Hằng,name
翟斌,,Trạch Bân,name
蛇影教,,Xà Ảnh Giáo,organization
佛门,,Phật Môn,organization
玉蝉寺,,Ngọc Thiền Tự,organization
龙旗宗,,Long Kỳ Tông,organization
炼气期,Qi Refining Phase,Luyện Khí Kỳ,term
散仙之道,Way of the Loose Immortal,Tán Tiên Chi Đạo,term
愿力飞升,,Nguyện Lực Phi Thăng,term
接引飞升,,Tiếp Dẫn Phi Thăng,term
兵解,Corpse Release,Binh Giải,term
无相雷煞阵,,Vô Tướng Lôi Sát Trận,term
定身符,Immobilization Talisman,Định Thân Phù,term
缚仙索,Immortal Binding Rope,Phược Tiên Tỏa,term
迷魂烟,Soul Confusing Smoke,Mê Hồn Yên,term
蚀灵散,Spirit Corroding Powder,Thực Linh Tán,term
掷象之力,,Trịch Tượng Chi Lực,term
举霞飞升,Ascending in a Cloud of Light,Cử Hà Phi Thăng,term
仙人金身,Immortal Golden Body,Tiên Nhân Kim Thân,term
蛇影山,,Xà Ảnh Sơn,location
蛇影宗,,Xà Ảnh Tông,organization
散仙,Loose Immortal,Tán Tiên,term
斩仙剑,,Trảm Tiên Kiếm,other
增灵阵纹,,Tăng Linh Trận Văn,term
天罗阵,,Thiên La Trận,term
朱昱,,Chu Dục,name
杨子安,,Dương Tử An,name
法显,,Pháp Hiển,name
八门锁空符,,Bát Môn Tỏa Không Phù,term
魔宗,,Ma Tông,organization
元婴树,,Nguyên Anh Thụ,term
锁空符,,Tỏa Không Phù,term
金身,Golden Body,Kim Thân,term
万剑诀,,Vạn Kiếm Quyết,term
佛门法身,,Phật Môn Pháp Thân,term
佛门金身,,Phật Môn Kim Thân,term
金刚不坏,,Kim Cang Bất Hoại,term
魔宗殿,,Ma Tông Điện,location
宇宙壁垒,,Vũ Trụ Bích Lũy,term
时间回退,Time Regression,Thời Gian Hồi Thoái,term
阿弥陀佛,Amitabha,A Di Đà Phật,other
观世音菩萨,Avalokitesvara Bodhisattva,Quán Thế Âm Bồ Tát,other
大势至菩萨,Mahasthamaprapta Bodhisattva,Đại Thế Chí Bồ Tát,other
大智菩萨,Manjusri Bodhisattva,Đại Trí Bồ Tát,other
大悲菩萨,,Đại Bi Bồ Tát,other
大愿菩萨,,Đại Nguyện Bồ Tát,other
大行菩萨,,Đại Hạnh Bồ Tát,other
大护菩萨,,Đại Hộ Bồ Tát,other
大伽蓝菩萨,Sangharama Bodhisattva,Đại Già Lam Bồ Tát,other
舍利弗,Sariputra,Xá Lợi Phất,name
目健莲,Maudgalyayana,Mục Kiền Liên,name
阿那律,Aniruddha,A Na Luật,name
空王佛,,Không Vương Phật,other
无量佛,,Vô Lượng Phật,other
无量寿佛,,Vô Lượng Thọ Phật,other
西方净土,Western Pure Land,Tây Phương Tịnh Độ,location
宿慧,,Túc Tuệ,term
龙脊宗,,Long Tích Tông,organization
传道长老,,Truyền Đạo Trưởng Lão,term
问道盟护法,,Vấn Đạo Minh Hộ Pháp,term
痛击队友,,Bóp team,term
RPG游戏,RPG game,trò chơi RPG,term
佛陀,,Phật Đà,other
大乘佛法,Mahayana Buddhism,Đại Thừa Phật Pháp,term
般若部,,Bát Nhã bộ,term
宝积部,,Bảo Tích bộ,term
大集部,,Đại Tập bộ,term
华严部,,Hoa Nghiêm bộ,term
涅槃部,,Niết Bàn bộ,term
大涅槃经,Mahaparinirvana Sutra,Đại Niết Bàn Kinh,term
楞伽经,Lankavatara Sutra,Lăng Già Kinh,term
菩萨藏经,,Bồ Tát Tạng Kinh,term
三清道尊,,Tam Thanh Đạo Tôn,name
昌然道君,,Xương Nhiên Đạo Quân,name
轻云老祖,,Khinh Vân Lão Tổ,name
周轻云,,Chu Khinh Vân,name
峨眉剑派,Emei Sect,Nga Mi Kiếm Phái,organization
李英琼,,Lý Anh Quỳnh,name
严人英,,Nghiêm Nhân Anh,name
余英男,,Dư Anh Nam,name
齐灵云,,Tề Linh Vân,name
三英二云,,Tam Anh Nhị Vân,term
青索剑,,Thanh Sách Kiếm,other
蜀山剑侠传,,Thục Sơn Kiếm Hiệp Truyện,other
还珠楼主,,Hoàn Châu Lâu Chủ,name
天圣山,,Thiên Thánh Sơn,location
霍峰,,Hoắc Phong,name
蓝宇,,Lam Vũ,name
妖王,,Yêu Vương,name
丝线牵牛,,Ti luyến khiên ngưu,term
宋良瑞,,Tống Lương Thụy,name
法智,,Pháp Trí,name
失魂斩,,Thất hồn trảm,term
万鬼噬魂,,Vạn quỷ phệ hồn,term
坚壁清野,Scorched earth policy,Kiên bích thanh dã,term
枫叶寺,,Phong Diệp Tự,location
飘向骨,,Phiêu Hướng Cốt,location
月影宗,,Nguyệt Ảnh Tông,organization
视听共享,Audiovisual Sharing,Thị Thính Cộng Hưởng,term
精准计时,Precise Timing,Tinh Chuẩn Kế Thời,term
时间免疫,Time Immunity,Thời Gian Miễn Dịch,term
时停,Time Stop,Thời Đình,term
时间预演,Time Preview,Thời Gian Dự Diễn,term
时间快进,Time Fast Forward,Thời Gian Khoái Tiến,term
时间后退,Time Rewind,Thời Gian Hậu Thoái,term
八门锁空阵,,Bát Môn Tỏa Không Trận,term
剑匣,,Kiếm Hạp,term
直面内心,,Trực Diện Nội Tâm,term
奢侈品,Luxury goods,Xa xỉ phẩm,term
戴表,,Đeo đồng hồ,term
赏银,,Thưởng bạc,currency
戴表赏银,,Tiền thưởng đeo đồng hồ,currency
符篆,,Phù triện,term
炼丹,Alchemy,Luyện đan,term
阵法,Formations,Trận pháp,term
战技,,Chiến kỹ,term
护体金身,,Hộ Thể Kim Thân,term
峨眉,,Nga Mi,location
大自在天魔,,Đại Tự Tại Thiên Ma,name
天幽老祖,,Thiên U Lão Tổ,name
九头妖尊,,Cửu Đầu Yêu Tôn,name
九头虫,,Cửu Đầu Trùng,name
储物袋,Storage bag,Túi trữ vật,term
曹杰明,,Tào Kiệt Minh,name
电磁地球仪,,Quả địa cầu điện từ,term
地磁力,,Lực địa từ,term
垂涎三尺,,Thùy Diên Tam Xích,term
尺短寸长,,Xích Đoản Thốn Trường,term
尺寸之功,,Xích Thốn Chi Công,term
冰壶玉尺,,Băng hồ ngọc xích,term
尺水丈波,,Xích Thủy Trượng ba,term
百尺竿头,,Bách Xích Can Đầu,term
尺幅千里,,Xích Phúc Thiên Lý,term
安纳西,,Annecy,location
雷蒙德,,Raymond,name
莫利安,,Morian,location
欧尼德,,Onid,location
混天绫,Red Armillary Sash,Hỗn Thiên Lăng,term
哪吒,Nezha,Na Tra,name
灵珠子,,Linh Châu Tử,name
金蛟剪,,Kim Giao Tiễn,term
量天尺,,Lượng Thiên Xích,term
混元金斗,,Hỗn Nguyên Kim Đấu,term
乾坤圈,,Càn Khôn Quyển,term
亡灵天灾,Undead Scourge,Vong Linh Thiên Tai,term
术士,Sorcerer,Thuật sĩ,term
六芒星,Hexagram,ngôi sao hình lục giác,term
禁咒,Forbidden spell,Cấm chú,term
亡灵骑士,Undead Knight,Vong linh kỵ sĩ,term
都灵圣裹,Shroud of Turin,Đô Linh Thánh Khỏa,term
上帝,God,Thượng đế,name
斩妖剑,Demon Slaying Sword,Trảm Yêu Kiếm,term
火尖枪,Fire-tipped Spear,Hỏa Tiêm Thương,term
风火轮,Wind Fire Wheels,Phong Hỏa Luân,term
杨戬,Yang Jian,Dương Tiễn,name
陆压,Lu Ya,Lục Áp,name
元始天尊,Yuanshi Tianzun,Nguyên Thủy Thiên Tôn,name
亡灵军团,Undead Legion,Vong linh quân đoàn,organization
林顿,Linton,Linton,name
神格,Godhead,Thần cách,term
阿拉贡,Aragorn,Aragorn,name
文森特,Vincent,Vincent,name
圣光魔法,Holy Light Magic,Thánh quang ma pháp,term
亡灵之地,Land of the Undead,Vong linh chi địa,location
赛思,Seth,Seth,name
迪安,Dean,Dean,name
伊丽丝,Iris,Iris,name
大法师,Archmage,Đại pháp sư,term
格林,Green,Green,name
唐纳,Donner,Donner,name
奥古斯特,August,August,name
布克,Brook,Brook,name
戈贝尔,Goebel,Goebel,name
全系法师,All-element Mage,Toàn hệ pháp sư,term
甘道夫,Gandalf,Gandalf,name
诸神黄昏,Ragnarok,Chư thần hoàng hôn,term
龙骨山脉,Dragonbone Mountains,Long Cốt sơn mạch,location
弗洛伊德,Freud,Freud,name
米迦勒,Michael,Michael,name
天使之心,Angel's Heart,Thiên Sứ Chi Tâm,term
骷髅君王,Skeleton King,Khô Lâu quân vương,name
利安德尔,Leander,Leander,name
兽人,Orc,Orc,term
狂战圣,Berserker Saint,Cuồng chiến thánh,term
命运之子,Child of Destiny,Mệnh Vận Chi Tử,term
芬里尔,Fenrir,Fenrir,name
耶梦加得,Jormungand,Jormungand,name
八岐大蛇,Yamata no Orochi,Bát Kỳ Đại Xà,name
龙骨要塞,Dragonbone Fortress,Pháo đài Xương Rồng,location
魔晶巨炮,Mana Crystal Cannon,Ma tinh cự pháo,term
西塞露,Siselu,Siselu,name
朗姆酒,Rum,Rượu Rum,other
利昂,Leon,Leon,name
霍克,Hawke,Hawke,name
罗奥·尼尔,Roald Neill,Roald Neill,name
禁魔球,Anti-magic Orb,Cấm ma cầu,term
杜安,Duane,Duane,name
佩奇,Page,Page,name
彼得·金,Peter King,Peter King,name
金币,Gold coin,kim tệ,currency
银币,Silver coin,ngân tệ,currency
铜币,Copper coin,đồng tệ,currency
法师,Mage,Pháp sư,term
丹田模拟器,,Máy mô phỏng Đan điền,term
神格碎片,Godhead fragment,Thần cách toái phiến,term
禁忌法师,Forbidden Mage,Cấm kỵ pháp sư,term
金乌,Golden Crow,Kim Ô,other
鲲鹏,Kunpeng,Côn Bằng,other
狮鹫,Griffin,Sư thứu,other
沙贝,Shabei,Shabei,name
奎德·马歇尔,Quid Marshall,Quid Marshall,name
约克鲁,Yokru,Yokru,name
塞德里克,Cedric,Cedric,name
艾莎,Aisha,Aisha,name
莱拉,Laila,Laila,name
菲尔瑞,Firry,Firry,name
乔伊,Joy,Joy,name
迈雅,Maia,Maia,name
宙斯,Zeus,Zeus,name
海格力斯,Hercules,Hercules,name
赫拉,Hera,Hera,name
梵天,Brahma,Brahma,name
奥丁,Odin,Odin,name
伊露维塔,Eru Ilúvatar,Eru Ilúvatar,name
维拉,Valar,Valar,name
路西法,Lucifer,Lucifer,name
切茜娅,Chexia,Chexia,name
昔拉,Sila,Sila,name
撒思姆,Sasum,Sasum,name
欧尼德大陆,Onid Continent,Đại Lục Onid,location
奥林匹斯山,Mount Olympus,Đỉnh Olympus,location
亡灵族,Undead Race,Tộc Vong Linh,organization
兽人族,Orc Race,Tộc Orc,organization
精灵族,Elf Race,Tộc Tinh Linh,organization
联盟总部,Alliance Headquarters,Tổng Bộ Liên Minh,organization
剑圣,Sword Saint,Kiếm Thánh,term
狮鹫骑士,Gryphon Rider,Sư Thứu Kỵ Sĩ,term
龙骑士,Dragon Rider,Long Kỵ Sĩ,term
魔晶大炮,Magic Crystal Cannon,Ma Tinh Đại Pháo,term
洁净之巾,Sanitary Napkin,Khiết Tịnh Chi Cân,term
诸神之战,War of the Gods,Chư Thần Chi Chiến,term
狂战士,Berserker,Cuồng Chiến Sĩ,term
大祭司,High Priest,Đại Tế Ty,term
罗奥,Roao,Roao,name
艾米莉亚,Emilia,Emilia,name
波莉,Polly,Polly,name
爱娜,Aina,Aina,name
马歇尔,Marshall,Marshall,name
肯尼斯,Kenneth,Kenneth,name
莱因哈德,Reinhard,Reinhard,name
阿瑞娜,Arina,Arina,name
安格斯·迪亚兹,Angus Diaz,Angus Diaz,name
露西亚·奥莉薇,Lucia Olivia,Lucia Olivia,name
格罗姆,Grom,Grom,name
唐拉德,Tanglade,Tanglade,name
费欧娜,Fiona,Fiona,name
理查德,Richard,Richard,name
瑞希,Ruixi,Ruixi,name
弗瑞,Fury,Fury,name
霍山峡谷,Huoshan Canyon,hẻm núi Hoắc Sơn,location
嘉定高地,Jiading Highlands,cao nguyên Gia Định,location
雪松城,City,thành Cedar,location
无尽之森,Endless Forest,Rừng Vô Tận,location
巨兽荒原,Behemoth Wasteland,Cự Thú Hoang Nguyên,location
翡翠城,Emerald City,thành Emerald,location
萨桑帝国,Sassan Empire,đế quốc Sassan,organization
兽人王庭,Orc Royal Court,Vương đình Orc,organization
潘多拉总局,Pandora Headquarters,Tổng cục Pandora,organization
绅士俱乐部,Gentlemen's Club,Câu lạc bộ Quý tộc,organization
月亮水,moon water,nước mặt trăng,term
魔力机车,magic locomotive,đầu máy ma lực,term
人工降雨,artificial rain,mưa nhân tạo,term
时间悖论,time paradox,nghịch lý thời gian,term
祖父悖论,grandfather paradox,nghịch lý ông nội,term
平行世界,parallel world,thế giới song song,term
量子力学,quantum mechanics,cơ học lượng tử,term
时空之轮,Wheel of Time,Bánh Xe Thời Gian,term
生命古树,Ancient Tree of Life,Sinh Mệnh Cổ Thụ,location
占星师,astrologer,Chiêm tinh sư,term
魅魔,succubus,Mị ma,term
艺伎,courtesan,nghệ kỹ,term
欲望之鞭,Whip of Desire,Dục Vọng chi Biên,other
听诊器,stethoscope,ống nghe,term
真言鉴别,truth discernment,Chân Ngôn Giám Biệt,term
听觉强化,hearing enhancement,Thính Giác Cường Hóa,term
狗血淋头,Bad Luck Drenching,Cẩu Huyết Lâm Đầu,term
十二圣女,Twelve Holy Maidens,Thập Nhị Thánh Nữ,organization
明月城,Bright Moon City,thành Minh Nguyệt,location
鲁本,Ruben,Ruben,name
魔法学院,Magic Academy,Ma Pháp Học Viện,organization
圣卫团,Holy Guard Corps,Thánh Vệ Đoàn,organization
贝恩,Bain,Bain,name
石门河,Shimen River,sông Shimen,location
安格斯,Angus,Angus,name
露西亚,Lucia,Lucia,name
培元丹,Peiyuan Pill,Bồi Nguyên Đan,other
欲望天魔,Desire Celestial Demon,Dục Vọng Thiên Ma,term
圣卫教,Holy Guard Sect,Thánh Vệ Giáo,organization
精灵,Elf,Tinh Linh,term
亡灵,Undead,Vong Linh,term
欧尼德联盟,Onid Alliance,Liên minh Onid,organization
布莱恩,Brian,Brian,name
占星术,Astrology,Chiêm tinh thuật,term
太阳神,Sun God,Thần Mặt Trời,god
撒旦,Satan,Satan,god
大罗金仙,,Đại La Kim Tiên,term
东皇钟,,Đông Hoàng Chung,term
烛龙,,Chúc Long,god
噎鸣,,Ế Minh,god
招妖幡,,Chiêu Yêu Phiên,term
点石成金,,Điểm thạch thành kim,term
石矶娘娘,,Thạch Cơ Nương Nương,god
暴风城,,Bạo Phong Thành,location
潘多拉,Pandora,Pandora,organization
史迪威·尼尔,Stilwell Neal,Stilwell Neal,name
莱文·泽维尔,Levin Xavier,Levin Xavier,name
扎恩·艾格,Zarn Egger,Zarn Egger,name
黑暗术士,Dark Warlock,Hắc ám thuật sĩ,term
白魔法,White Magic,Bạch ma pháp,term
快乐源泉,,Khoái lạc nguyên tuyền,term
盖亚,Gaia,Gaia,god
爱神,God of Love,Thần Tình Yêu,name
灵欲之鞭,Whip of Spirit and Desire,Roi Linh Hồn và Dục Vọng,other
圣女,Saintess,Thánh nữ,term
小皮鞭,,roi da nhỏ,other
绫爷,,Lăng gia,name
潘多拉总部,Pandora Headquarters,Tổng bộ Pandora,organization
莱文,Levin,Levin,name
扎恩,Zahn,Zahn,name
三族联盟,Three-Race Alliance,Liên Minh Tam Tộc,organization
风系禁忌法师,Wind Forbidden Mage,Phong hệ Cấm kỵ Pháp sư,term
精灵神射手,Elf Sharpshooter,Tinh Linh Thần Xạ Thủ,term
鲁法尔,Rufal,Rufal,name
兽人大祭司,Orc High Priest,Đại Tế Ti Orc,term
格瑟,Gesser,Gesser,name
救世主,Savior,Đấng Cứu Thế,term
禁忌生物,Forbidden Creature,sinh vật cấm kỵ,term
奎德,Quaid,Quaid,name
莱茵哈德,Reinhard,Reinhard,name
贝特朗,Bertrand,Bertrand,name
霍山要塞,Huoshan Fortress,Pháo đài Hoắc Sơn,location
圣卫军,Holy Guardian Army,Thánh Vệ Quân,organization
联盟军,Alliance Army,Liên Minh Quân,organization
士气如虹,Morale like a Rainbow,sĩ khí như hồng,term
自由之鞭,Whip of Freedom,Roi Tự Do,term
骷髅将军,Skeleton General,Khô Lâu Tướng Quân,term
巫妖,Lich,Pháp sư Vu Yêu,term
死灵术士,Necromancer,Thuật Sĩ Tử Linh,term
兽人狂战圣,Orc Berserker Saint,Thú Nhân Cuồng Chiến Thánh,term
骨龙,Bone Dragon,Cốt Long,term
骨龙骑士,Bone Dragon Knight,Kỵ Sĩ Cốt Long,term
流星火雨,Meteor Fire Rain,Lưu Tinh Hỏa Vũ,term
捆仙绳,Immortal Binding Rope,Khốn Tiên Thừng,term
亡灵迷雾,Undead Mist,Sương Mù Vong Linh,location
绳捆索绑,Rope Binding,Dây Thừng Trói Buộc,term
生命礼赞,Life Praise,Sinh Mệnh Lễ Tán,term
衰老之息,Aging Breath,Hơi Thở Lão Hóa,term
死亡凝视,Death Gaze,Cái Nhìn Tử Thần,term
潜行,Stealth,Tiềm Hành,term
亡灵爆破,Undead Explosion,Vong Linh Bộc Phá,term
欲望天女,Lady of Desire,Dục Vọng Thiên Nữ,term
传送门,Teleportation Gate,Cổng dịch chuyển,term
孙悟空,Sun Wukong,Tôn Ngộ Không,name
女娲,Nuwa,Nữ Oa,name
盘古,Pangu,Bàn Cổ,name
女儿国,Kingdom of Women,Nữ Nhi Quốc,location
子母河,Zimu River,Sông Tử Mẫu,location
龙宫,Dragon Palace,Long Cung,location
海妖,Sea Siren,Hải Yêu,term
死亡缠绕,Death Coil,Cái chết quấn quanh,term
天女教,Celestial Maiden Sect,Thiên Nữ Giáo,organization
战神,God of War,Chiến Thần,name
生命之神,God of Life,Sinh Mệnh Chi Thần,name
洁净之神,God of Cleanliness,Khiết Tịnh Chi Thần,name
哈哈镜,Distorting Mirror,Kính Biến Hình,term
传道受业,Teaching and Preaching,Truyền Đạo Thụ Nghiệp,term
玉净瓶,Jade Pure Vase,Ngọc Tịnh Bình,term
阴阳二气瓶,Yin-Yang Dual Qi Vase,Âm Dương Nhị Khí Bình,term
八宝琉璃瓶,Eight Treasure Glazed Vase,Bát Bảo Lưu Ly Bình,term
四海瓶,Four Seas Vase,Tứ Hải Bình,term
风口袋,Wind Bag,Túi Gió,term
照妖镜,Demon-Reflecting Mirror,Chiếu Yêu Kính,term
持国天王,Dhritarashtra,Trì Quốc Thiên Vương,name
玉琵琶,Jade Pipa,Ngọc Tì Bà,term
韩湘子,Han Xiangzi,Hàn Tương Tử,name
何旭,He Xu,Hà Húc,name
蓉蓉,Rongrong,Dung Dung,name
红云学院,Red Cloud Academy,Học viện Hồng Vân,organization
河西市,Hexi City,Thành phố Hà Tây,location
万象城,Wanxiang City,Vạn Tượng Thành,location
独孤,Dugu,Độc Cô,name
白轩,Bai Xuan,Bạch Hiên,name
弓圣,Bow Saint,Cung Thánh,term
荒,Huang,Hoang,name
星珠,Star Bead,Tinh Châu,term
星力,Star Power,Tinh Lực,term
星技,Star Skill,Tinh Kỹ,term
邱飞鹏,Qiu Feipeng,Khâu Phi Bằng,name
暗影公会,Shadow Guild,Hội Ám Ảnh,organization
疾风狐,Gale Fox,Tật Phong Hồ,term
闪电豹,Lightning Leopard,Thiểm Điện Báo,term
震爆虎,Thunder Tiger,Chấn Bộc Hổ,term
雷鹰,Thunder Eagle,Lôi Ưng,term
冰霜鳄,Frost Crocodile,Băng Sương Ngạc,term
黑翼蝠,Black-Winged Bat,Hắc Dực Bức,term
柳蓉蓉,Liu Rongrong,Liễu Dung Dung,name
杨琪,Yang Qi,Dương Kỳ,name
池文杰,Chi Wenjie,Trì Văn Kiệt,name
侯然,Hou Ran,Hầu Nhiên,name
秦天,Qin Tian,Tần Thiên,name
薛阳,Xue Yang,Tiết Dương,name
废墟,The Ruins,Phế tích,location
平底锅集团,Frying Pan Group,Tập đoàn Chảo Rán,organization
星币,Star Coin,Tinh tệ,currency
命星,Natal Star,Mệnh tinh,term
变异兽,Mutant Beast,Thú biến dị,term
秦氏集团,Qin Group,Tập đoàn Tần Thị,organization
锅神,Pot God,Nồi Thần,name
深蓝星,Deep Blue Star,Sao Thâm Lam,location
动力机车,Power Locomotive,Mô tô năng lượng,term
人类命运联合共同体,Human Destiny Community,Cộng đồng Vận mệnh Nhân loại,organization
主星,Main Star,Chủ tinh,term
太阴星,Lunar Star,Thái Âm Tinh,term
太阳星,Solar Star,Thái Dương Tinh,term
莫志鸿,Mo Zhihong,Mạc Chí Hồng,name
宋丽,Song Li,Tống Lệ,name
朱正豪,Zhu Zhenghao,Chu Chính Hào,name
楚威,Chu Wei,Sở Uy,name
雷叔,Uncle Lei,Lôi thúc,name
施耀集团,Shiyao Group,Tập đoàn Thi Diệu,organization
南夜集团,Nanye Group,Tập đoàn Nam Dạ,organization
星图集团,Xingtu Group,Tập đoàn Tinh Đồ,organization
天元能量,Tianyuan Energy,Thiên Nguyên Năng Lượng,organization
基因改造液,Genetic Modification Fluid,Dịch cải tạo gen,term
星图,Star Map,Tinh Đồ,organization
南书易,Nan Shuyi,Nam Thư Dịch,name
木先生,Mr. Mu,Mộc tiên sinh,name
安岳市,Anyue City,Thành phố An Nhạc,location
南文斌,Nan Wenbin,Nam Văn Bân,name
南书韵,Nan Shuyun,Nam Thư Vận,name
秦修文,Qin Xiuwen,Tần Tu Văn,name
庞白松,Pang Baisong,Bàng Bạch Tùng,name
楚中天,Chu Zhongtian,Chu Trung Thiên,name
楚中越,Chu Zhongyue,Chu Trung Việt,name
毕志恒,Bi Zhiheng,Tất Chí Hằng,name
山河行省,Shanhe Province,Tỉnh Sơn Hà,location
何飞,He Fei,Hà Phi,name
神魔之墟,Ruins of Gods and Demons,Thần Ma chi Phế,location
夺运,Luck Stealing,Đoạt Vận,term
夺势,Momentum Stealing,Đoạt Thế,term
二胡,Erhu,Nhị hồ,term
废墟之盟,Ruins Alliance,Liên minh Phế Tích,organization
乐公子,Lord of Music,Hoàng Tử Âm Nhạc,name
分享之神,God of Sharing,Thần Chia Sẻ,name
二胡天王,Erhu Heavenly King,Thiên Vương Nhị Hồ,name
仙力,Immortal Power,Tiên lực,term
天元,Tianyuan,Thiên Nguyên,organization
南夜,Nanye,Nam Dạ,organization
楚三爷,Third Master Chu,Sở Tam gia,name
高怀安,Gao Huaian,Cao Hoài An,name
施礼信,Shi Lixin,Thi Lễ Tín,name
江河市,Jianghe City,Thành phố Giang Hà,location
东山市,Dongshan City,Thành phố Đông Sơn,location
禹王鼎,Yu Wang Tripod,Vũ Vương Đỉnh,name
霉运滔天,Overwhelming Misfortune,Vận Rủi Ngập Trời,term
食指大动,Index Finger Movement,Thực Chỉ Đại Động,term
醍醐灌顶,Tihu Guanding,Đề Hồ Quán Đỉnh,term
太阴星力,Lunar Star Power,Thái Âm tinh lực,term
乔峰,Qiao Feng,Kiều Phong,name
五大集团,Five Major Groups,Ngũ đại tập đoàn,organization
天元集团,Tianyuan Group,Tập đoàn Thiên Nguyên,organization
乐惑苍生,Music Bewitching the Masses,Nhạc Hoặc Thương Sinh,term
五感强化,Five Senses Enhancement,Ngũ Cảm Cường Hóa,term
平底锅,Frying Pan,chảo rán,term
鱼香肉丝,Yuxiang Shredded Pork,Thịt heo xào Ngư Hương,term
姨妈巾,Sanitary Pad,Băng vệ sinh,term
将军令,General's Command,Tướng Quân Lệnh,term
单刀赴会,Single Sword Meeting,Đơn Đao Phó Hội,term
小刀会序曲,Dagger Society Overture,Khúc dạo đầu Hội Tiểu Đao,term
京都,Jingdu,Kinh Đô,location
太阳星力,Solar Star Power,Thái Dương Tinh Lực,term
歌舞通灵,Song and Dance Spirit Connection,Ca Vũ Thông Linh,term
规则之力,Power of Rules,Quy Tắc Chi Lực,term
锅人,Pan-Person,Người Chảo,term
卫生巾,Sanitary Napkin,Băng vệ sinh,term
牵连,Involvement,Liên Lụy,term
秦氏,Qin Clan,Họ Tần,organization
二泉映月,Moon Reflected in the Second Spring,Nhị Tuyền Ánh Nguyệt,other
阿炳,A Bing,A Bính,name
牧羊曲,Shepherd's Song,Mục Dương Khúc,other
苏武牧羊,Su Wu Herding Sheep,Tô Vũ Mục Dương,other
十面埋伏,Ambush from Ten Sides,Thập Diện Mai Phục,other
秦王破阵乐,Prince of Qin's March,Tần Vương Phá Trận Nhạc,other
荒狼,Wild Wolf,sói hoang,term
云鹿,Cloud Deer,vân lộc,term
楚老三,Chu Third,Sở Lão Tam,name
巫族,Wu Clan,Vu tộc,organization
菜阵,Food Formation,Thực Trận,term
平底锅宝宝,Frying Pan Baby,em bé Chảo rán,name
阿努比斯,Anubis,Anubis,name
审判之秤,Scales of Judgment,Cân Công Lý,name
锅宝宝,,em bé Chảo,name
玉面琵琶精,,Ngọc Diện Tỳ Bà Tinh,name
轩辕坟三妖,,Hiên Viên Phần Tam Yêu,organization
纣王,,Trụ Vương,name
封神榜,Investiture of the Gods,Phong Thần Bảng,other
姜子牙,,Khương Tử Nha,name
阐教,Chanism,Xiển Giáo,organization
准圣,,Chuẩn Thánh,term
混元圣人,,Hỗn Nguyên Thánh Nhân,term
月亮神,,Thần Mặt Trăng,name
雷神,,Lôi Thần,name
万魂幡,,Vạn Hồn Phiên,term
赛马,,Tái Mã,other
光明行,,Quang Minh Hành,other
听松,,Thính Tùng,other
琴瑟和鸣,,Cầm Sắt Hòa Minh,term
剑齿虎,Saber-toothed tiger,Kiếm Xỉ Hổ,term
猛犸象,Mammoth,Mãnh Mã Tượng,term
周天星斗大阵,,Chu Thiên Tinh Đẩu Đại Trận,term
秦始皇,,Tần Thủy Hoàng,name
大巫,,Đại Vu,term
王灵官,,Vương Linh Quan,name
叔琨,,Thúc Côn,name
帝俊,,Đế Tuấn,name
大羿,,Đại Nghệ,name
大道法则,Great Dao Law,Đại Đạo Pháp Tắc,term
东皇太一,Donghuang Taiyi,Đông Hoàng Thái Nhất,name
玉帝,Jade Emperor,Ngọc Đế,name
灵官诀,,Linh Quan Quyết,term
真武,Zhenwu,Chân Vũ,name
闻仲,Wen Zhong,Văn Trọng,name
开天斧,Kaitian Axe,Khai Thiên Phủ,term
太极图,Taiji Diagram,Thái Cực Đồ,term
轩辕剑,Xuanyuan Sword,Hiên Viên Kiếm,term
成长之道,Growth Path,Trưởng Thành Chi Đạo,term
凝心诀,,Ngưng Tâm Quyết,term
齐星泽,,Tề Tinh Trạch,name
韩琦,,Hàn Kỳ,name
龙虎山,,Long Hổ Sơn,location
钱増礼,,Tiền Tăng Lễ,name
罗修永,,La Tu Vĩnh,name
木道人,,Mộc Đạo Nhân,name
陈景,,Trần Cảnh,name
沈兰衣,,Thẩm Lan Y,name
齐易真,,Tề Dịch Chân,name
河图,,Hà Đồ,name
洛书,,Lạc Thư,name
卢颖,,Lô Dĩnh,name
丁杰,,Đinh Kiệt,name
龙儿,,Long Nhi,name
青云门,,Thanh Vân Môn,organization
斩龙台,,Trảm Long Đài,location
浑坊县,,huyện Hồn Phường,location
风铃县,,huyện Phong Linh,location
言出法随,,Ngôn Xuất Pháp Tùy,term
命运之骰,,Xúc Xắc Vận Mệnh,term
钱能改命,,Tiền Năng Cải Mệnh,term
五弊三缺,,Ngũ Tệ Tam Khuyết,term
