# QUAN HỆ NHÂN VẬT - CHƯƠNG 001-130

## MẪU ĐỊNH DẠNG
Tên nhân vật A | Tên nhân vật B | Quan hệ | Lưu ý
   - Cấp dưới gọi cấp trên: **Công công / Quản sự / Đại nhân / Ty trưởng**.
   - Tự xưng: **Tiểu nữ / Vãn bối / Dân nữ**.
5. **Narrative**: Dùng **"nàng"** thay vì **"cô"** khi nói về Hoa Trường Hy.
6. **Tâm Ma Thệ**: Giả công công, Ư công công, Triệu công công, Chu công công đã lập Tâm Ma Thệ với Hoa Trường Hy.

---

## NHÂN VẬT MỚI (CHƯƠNG 145-150):
- Thọ Vương | Hoa Trường Hy | Hoàng thúc / Kẻ thù tiềm năng | Tiếp quản Y Dược Ty, muốn mộc bài
- Thường Uy | Bàng Thiếu Vũ | Cô phụ - Điệt nhi | Trấn phủ Bắc Trấn Phủ Ty
- Tô Ngự | Hoa Trường Hy | Thuộc hạ - Điện chủ | Chu Tước Quân, Lăng Quang Điện
- Vân Du | Hoa Trường Hy | Thuộc hạ - Điện chủ | Chu Tước Quân, quản lý Đan Dược Phòng
